segment,gait,direction,surface,ts_hoof_on_LF,ts_hoof_on_RF,ts_hoof_on_LH,ts_hoof_on_RH,ts_raw_hoof_on_LF,ts_raw_hoof_on_RF,ts_raw_hoof_on_LH,ts_raw_hoof_on_RH,stride_dur,duty_factor,stance_dur_LF,stance_dur_RF,stance_dur_LH,stance_dur_RH,swing_dur_LF,swing_dur_RF,swing_dur_LH,swing_dur_RH,swing_intensity_LF,swing_intensity_RF,swing_intensity_LH,swing_intensity_RH,duty_factor_LF,duty_factor_RF,duty_factor_LH,duty_factor_RH,suspension_sec,suspension_perc,suspension_L_sec,suspension_L_perc,suspension_R_sec,suspension_R_perc,dap_L_sec,dap_L_perc,dap_R_sec,dap_R_perc,lap_L_sec,lap_L_perc,lap_R_sec,lap_R_perc,rom_sagittal_LF,rom_sagittal_RF,rom_sagittal_LH,rom_sagittal_RH,rom_coronal_LF,rom_coronal_RF,rom_coronal_LH,rom_coronal_RH,protraction_LF,protraction_RF,protraction_LH,protraction_RH,retraction_LF,retraction_RF,retraction_LH,retraction_RH,abduction_LF,abduction_RF,abduction_LH,abduction_RH,adduction_LF,adduction_RF,adduction_LH,adduction_RH,stride_speed,stride_length,min_diff_head,max_diff_head,si_up_head,min_diff_wth,max_diff_wth,si_up_wth,min_diff_sac,max_diff_sac,si_up_sac,min_diff_stn,max_diff_stn,si_up_stn,hiphike_swing,hiphike_stance,romz_head,romz_wth,romz_sac,romz_stn,romz_ltc,romz_rtc,horse_name,horse_ueln,horse_chip,horse_age,horse_color,horse_sex,horse_breed,horse_discipline,horse_sire,measurement,date,exam_type,exam_purpose,flexion_test,diagnostic_analgesia,inconclusive
1,"walk","left","soft",76.525,77.285,76.315,76.97,2964.15,2964.91,2963.94,2964.595,1.4288,64.2554,1.025,0.955,0.825,0.87,0.395,0.5,0.65,0.55,198.1978,157.1585,91.2921,79.7413,71.1806,65.8621,59.246,60.733,,,,,,,0.97,67.8915,-0.445,-31.1461,0.21,14.6982,0.315,22.0472,63.8188,72.2161,47.4041,52.2863,17.2403,21.3124,22.0114,21.2483,26.9145,33.8976,28.6889,31.812,-36.9043,-38.3185,-18.7152,-20.4742,15.7377,3.7648,15.9449,12.2095,-1.5027,-17.5476,-6.0665,-9.0388,,,-0.2657,-7.5986,2.0413,0.5144,-10.6437,-0.0571,,-9.1222,,,,,,,72.94,33.1808,57.9069,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",77.985,78.73,77.625,78.415,2965.61,2966.355,2965.25,2966.04,1.4206,64.8737,1.015,0.93,0.915,0.83,0.435,0.49,0.485,0.575,173.0229,171.8228,115.4599,86.9655,69.7595,65.1489,64.5503,60.0362,,,,,,,-0.34,-23.9331,-0.43,-30.2684,0.36,25.341,0.315,22.1733,66.6512,70.2214,48.3836,53.6902,18.2737,20.7632,19.6603,25.4015,32.0955,32.4215,23.4064,30.3337,-34.5557,-37.7999,-24.9772,-23.3565,15.3557,1.6381,15.0345,15.5155,-2.9179,-19.1252,-4.6258,-9.886,,,-0.0043,31.4999,31.7768,0.4797,-10.1448,-8.1685,0.2774,-5.3093,-20.5186,,,,,,100.0904,32.8371,60.1398,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",79.445,80.165,79.06,79.775,2967.07,2967.79,2966.685,2967.4,1.395,64.8802,0.945,0.885,0.905,0.885,0.445,0.505,0.52,0.53,170.0299,162.1101,108.1995,95.9043,67.8636,64.3636,64.5276,62.766,,,,,,,-0.33,-23.6559,-0.33,-23.6559,0.385,27.5986,0.39,27.957,70.286,65.3518,51.4603,55.1627,18.3895,21.6809,24.0575,27.8903,33.9061,29.245,25.8784,29.6913,-36.3799,-36.1068,-25.5819,-25.4714,16.9629,4.1075,14.0206,13.4553,-1.4265,-17.5734,-10.0369,-14.435,,,0.2926,-12.7961,,0.5238,-16.6042,1.9355,0.1705,0.6906,-8.8244,,,,,,117.0605,29.1216,66.1896,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",80.84,81.525,80.44,81.18,2968.465,2969.15,2968.065,2968.805,1.4212,65.6846,0.975,0.95,0.935,0.875,0.45,0.475,0.475,0.52,187.4234,159.9453,127.9419,104.4925,68.4211,65.9722,65.8451,62.5,,,,,,,-0.275,-19.3492,-0.34,-23.9226,0.4,28.1442,0.345,24.2744,69.7186,67.8244,51.8662,56.8855,12.6282,14.6156,20.515,19.7594,31.5839,29.6875,26.8086,30.9773,-38.1347,-38.1369,-25.0576,-25.9083,8.3528,1.6297,15.3049,9.768,-4.2755,-12.9859,-5.2101,-9.9915,,,-0.1563,-26.5408,-11.6567,-0.4699,20.7434,-5.1679,,19.5184,-6.8631,,,,,,106.8639,38.4287,65.9752,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",82.265,82.98,81.87,82.585,2969.89,2970.605,2969.495,2970.21,1.4,64.3755,0.925,0.87,0.895,0.915,0.45,0.505,0.495,0.53,182.7337,155.8247,125.8607,100.6918,66.5468,63.0435,63.4752,64.4366,,,,,,,-0.345,-24.6429,-0.32,-22.8571,0.395,28.2143,0.395,28.2143,70.2939,69.6875,49.8944,57.3911,13.712,18.4783,15.5145,18.7378,32.5717,30.6121,23.378,32.1074,-37.7222,-39.0754,-26.5164,-25.2836,10.9829,3.6767,11.2029,9.2098,-2.7291,-14.8016,-4.3116,-9.528,,,0.3227,14.5487,-11.842,0.4175,-15.5106,0.7781,0.1336,5.3078,-2.2438,,,,,,107.2152,34.4189,59.5188,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",83.67,84.365,83.3,83.98,2971.295,2971.99,2970.925,2971.605,1.3969,63.6146,0.895,0.905,0.845,0.91,0.48,0.515,0.535,0.48,174.6427,165.8086,110.9005,107.9445,64.6209,64.2984,61.4545,64.0845,,,,,,,-0.32,-22.9083,-0.31,-22.1924,0.37,26.4877,0.385,27.5615,68.382,71.3574,56.9732,57.9532,14.0516,15.8714,16.9034,12.1188,28.4559,33.3349,29.0578,32.5909,-39.9261,-38.0225,-27.9153,-25.3623,9.574,2.1289,11.9772,6.5971,-4.4776,-13.7426,-4.9263,-5.5217,,,-0.1823,-17.9011,1.642,0.5855,-14.818,-5.3735,0.1557,0.3315,-8.4726,,,,,,109.0999,43.1519,66.7719,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",85.065,85.76,84.67,85.43,2972.69,2973.385,2972.295,2973.055,1.405,63.8735,0.91,0.925,0.895,0.86,0.5,0.49,0.525,0.54,167.0379,165.6137,120.2999,92.9988,65.3501,64.7986,63.1393,62.2061,,,,,,,-0.305,-21.7082,-0.365,-25.9786,0.395,28.1139,0.33,23.4875,70.572,70.4468,53.1427,58.7434,10.0048,14.191,17.4866,20.3233,29.2753,29.7944,24.3812,35.8789,-41.2967,-40.6525,-28.7615,-22.8645,9.4875,2.302,12.02,11.133,-0.5173,-11.889,-5.4666,-9.1903,,,-0.1252,-11.7739,1.5265,0.3735,-12.5654,0.5113,0.0935,4.1042,-2.136,,,,,,123.6956,28.9584,67.0605,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",86.44,87.2,86.085,86.795,2974.065,2974.825,2973.71,2974.42,1.38,64.1845,0.955,0.825,0.88,0.885,0.465,0.515,0.52,0.505,187.3059,166.3016,116.9763,106.5916,67.3721,61.7978,62.9696,64.5985,,,,,,,-0.325,-23.5507,-0.355,-25.7246,0.355,25.7246,0.405,29.3478,73.6408,74.6166,56.2464,60.5953,14.0613,16.2908,14.7283,15.4211,30.5739,33.8184,28.8177,33.901,-43.0668,-40.7982,-27.4287,-26.6943,9.7479,0.2665,11.3043,8.6158,-4.3134,-16.0244,-3.4241,-6.8053,,,-0.2077,-35.3505,-9.6655,-0.1604,9.5376,-0.3835,0.2419,5.6164,-10.1415,,,,,,140.5678,26.3197,66.5734,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",87.855,88.53,87.48,88.145,2975.48,2976.155,2975.105,2975.77,1.3487,63.674,0.895,0.855,0.835,0.85,0.46,0.505,0.515,0.465,191.4014,175.797,122.2307,111.07,66.6667,63.0996,61.9666,62.963,,,,,,,-0.28,-20.76,-0.29,-21.5014,0.375,27.8035,0.385,28.5449,68.7427,68.3912,56.7544,59.645,10.5572,17.1695,23.1097,21.6608,31.934,31.3868,29.0769,32.503,-36.8087,-37.0044,-27.6775,-27.142,8.4273,1.6765,13.3332,9.4069,-2.1299,-15.493,-9.7766,-12.2539,,,-0.1147,-46.0543,-32.8335,0.6374,-17.3504,-6.7569,0.1777,5.519,-6.3147,,,,,,148.061,33.7327,68.0881,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
1,"walk","left","soft",89.185,89.88,88.825,89.53,2976.81,2977.505,2976.45,2977.155,1.3319,63.5355,0.89,0.84,0.84,0.815,0.435,0.495,0.51,0.535,190.7536,158.0892,131.8233,106.9524,66.6667,63.3962,62.5698,61.5094,,,,,,,-0.295,-22.1492,-0.345,-25.9033,0.36,27.0296,0.35,26.2787,72.8643,72.7696,54.4488,54.7114,12.862,14.2442,14.4717,17.1899,33.8848,33.5594,27.0024,27.3639,-38.9795,-39.2102,-27.4464,-27.3475,8.6591,1.611,10.0842,9.608,-4.2029,-12.6332,-4.3875,-7.582,,,0.2384,4.2059,-20.0447,-0.2338,9.5467,-7.6857,0.2131,6.6566,-7.7906,,,,,,117.6401,34.5531,67.7923,,,,"Duque","","N/A","2008-01-01T00:00:00.000Z","Bay","Gelding","PRE horse (Pura Raza Espanola) - Andalusier","Dressage","","20260119T121135_logfile.itlog","2026-01-19T19:11:35.549Z","In hand","Research",,,
